bill,rep,vote
2154,BENNINGHOFF,yay
2154,BERNSTINE,yay
2154,BLOOM,yay
2154,"BROWN, R.",yay
2154,CAUSER,yay
2154,CHRISTIANA,yay
2154,COOK,yay
2154,CORR,yay
2154,COX,yay
2154,CULVER,yay
2154,CUTLER,yay
2154,DAY,yay
2154,DELOZIER,yay
2154,DIAMOND,yay
2154,DOWLING,yay
2154,DUNBAR,yay
2154,DUSH,yay
2154,ELLIS,yay
2154,EMRICK,yay
2154,EVANKOVICH,yay
2154,EVERETT,yay
2154,FEE,yay
2154,FRITZ,yay
2154,GILLESPIE,yay
2154,GODSHALL,yay
2154,GREINER,yay
2154,GROVE,yay
2154,HAHN,yay
2154,"HARRIS, A.",yay
2154,HEFFLEY,yay
2154,HELM,yay
2154,HICKERNELL,yay
2154,HILL,yay
2154,IRVIN,yay
2154,JAMES,yay
2154,JOZWIAK,yay
2154,KAUFER,yay
2154,KAUFFMAN,yay
2154,KEEFER,yay
2154,"KELLER, F.",yay
2154,"KELLER, M.K.",yay
2154,KLUNK,yay
2154,KNOWLES,yay
2154,LAWRENCE,yay
2154,LEWIS,yay
2154,MACKENZIE,yay
2154,MAHER,yay
2154,MALONEY,yay
2154,MARSHALL,yay
2154,MARSICO,yay
2154,MASSER,yay
2154,MCGINNIS,yay
2154,MENTZER,yay
2154,METZGAR,yay
2154,MILLARD,yay
2154,"MILLER, B.",yay
2154,MOUL,yay
2154,MUSTIO,yay
2154,NELSON,yay
2154,NESBIT,yay
2154,O'NEAL,yay
2154,O'NEILL,yay
2154,OBERLANDER,yay
2154,ORTITAY,yay
2154,OWLETT,yay
2154,PEIFER,yay
2154,PICKETT,yay
2154,PYLE,yay
2154,QUIGLEY,yay
2154,RADER,yay
2154,RAPP,yay
2154,REED,yay
2154,REESE,yay
2154,ROAE,yay
2154,ROTHMAN,yay
2154,RYAN,yay
2154,SACCONE,yay
2154,SANKEY,yay
2154,SAYLOR,yay
2154,SCHEMEL,yay
2154,SIMMONS,yay
2154,SONNEY,yay
2154,STAATS,yay
2154,STEPHENS,yay
2154,TALLMAN,yay
2154,TAYLOR,yay
2154,TOBASH,yay
2154,TOEPEL,yay
2154,TOOHIL,yay
2154,TOPPER,yay
2154,WALSH,yay
2154,WARD,yay
2154,WARNER,yay
2154,WATSON,yay
2154,WENTLING,yay
2154,WHEELAND,yay
2154,WHITE,yay
2154,ZIMMERMAN,yay
2154,BARBIN,yay
2154,BIZZARRO,yay
2154,BURNS,yay
2154,"COSTA, D.",yay
2154,"COSTA, P.",yay
2154,DELUCA,yay
2154,FLYNN,yay
2154,HARKINS,yay
2154,LONGIETTI,yay
2154,PETRARCA,yay
2154,SAINATO,yay
2154,SNYDER,yay
2154,TURZAI,yay
2154,BARRAR,nay
2154,BOBACK,nay
2154,CHARLTON,nay
2154,CORBIN,nay
2154,DIGIROLAMO,nay
2154,ENGLISH,nay
2154,FARRY,nay
2154,GILLEN,nay
2154,HARPER,nay
2154,HENNESSEY,nay
2154,KAMPF,nay
2154,MEHAFFIE,nay
2154,MICCARELLI,nay
2154,MILNE,nay
2154,MURT,nay
2154,"QUINN, C.",nay
2154,"QUINN, M.",nay
2154,ROE,nay
2154,BOYLE,nay
2154,BRIGGS,nay
2154,"BROWN, V.",nay
2154,BULLOCK,nay
2154,CALTAGIRONE,nay
2154,CARROLL,nay
2154,CEPHAS,nay
2154,COMITTA,nay
2154,CONKLIN,nay
2154,CRUZ,nay
2154,DALEY,nay
2154,DAVIDSON,nay
2154,"DAVIS, A.",nay
2154,"DAVIS, T.",nay
2154,DAWKINS,nay
2154,DEASY,nay
2154,DELISSIO,nay
2154,DERMODY,nay
2154,DONATUCCI,nay
2154,DRISCOLL,nay
2154,EVANS,nay
2154,FITZGERALD,nay
2154,FRANKEL,nay
2154,FREEMAN,nay
2154,GAINEY,nay
2154,GALLOWAY,nay
2154,GOODMAN,nay
2154,HAGGERTY,nay
2154,HANNA,nay
2154,"HARRIS, J.",nay
2154,KAVULICH,nay
2154,"KELLER, W.",nay
2154,KIM,nay
2154,KINSEY,nay
2154,KIRKLAND,nay
2154,KORTZ,nay
2154,KRUEGER,nay
2154,KULIK,nay
2154,MADDEN,nay
2154,MARKOSEK,nay
2154,MATZIE,nay
2154,MCCARTER,nay
2154,MCCLINTON,nay
2154,MCNEILL,nay
2154,"MILLER, D.",nay
2154,MULLERY,nay
2154,NEILSON,nay
2154,PASHINSKI,nay
2154,RABB,nay
2154,RAVENSTAHL,nay
2154,READSHAW,nay
2154,ROEBUCK,nay
2154,ROZZI,nay
2154,SAMUELSON,nay
2154,SCHLOSSBERG,nay
2154,SCHWEYER,nay
2154,SIMS,nay
2154,SOLOMON,nay
2154,STURLA,nay
2154,TAI,nay
2154,THOMAS,nay
2154,VAZQUEZ,nay
2154,VITALI,nay
2154,WARREN,nay
2154,WHEATLEY,nay
2154,YOUNGBLOOD,nay
97,BAKER,yay
97,BENNINGHOFF,yay
97,BERNSTINE,yay
97,BLOOM,yay
97,BOBACK,yay
97,"BROWN, R.",yay
97,CHARLTON,yay
97,COOK,yay
97,CORBIN,yay
97,CORR,yay
97,COX,yay
97,CULVER,yay
97,CUTLER,yay
97,DAY,yay
97,DELOZIER,yay
97,DIAMOND,yay
97,DOWLING,yay
97,DUNBAR,yay
97,DUSH,yay
97,ELLIS,yay
97,EMRICK,yay
97,ENGLISH,yay
97,EVANKOVICH,yay
97,EVERETT,yay
97,FARRY,yay
97,FEE,yay
97,FRITZ,yay
97,GABLER,yay
97,GILLESPIE,yay
97,GREINER,yay
97,GROVE,yay
97,HAHN,yay
97,HARPER,yay
97,"HARRIS, A.",yay
97,HEFFLEY,yay
97,HELM,yay
97,HICKERNELL,yay
97,HILL,yay
97,IRVIN,yay
97,JOZWIAK,yay
97,KAMPF,yay
97,KAUFER,yay
97,KAUFFMAN,yay
97,KEEFER,yay
97,"KELLER, F.",yay
97,"KELLER, M.K.",yay
97,KLUNK,yay
97,KNOWLES,yay
97,LAWRENCE,yay
97,MACKENZIE,yay
97,MAHER,yay
97,MALONEY,yay
97,MARSHALL,yay
97,MARSICO,yay
97,MASSER,yay
97,MEHAFFIE,yay
97,MENTZER,yay
97,METCALFE,yay
97,METZGAR,yay
97,MICCARELLI,yay
97,MILLARD,yay
97,"MILLER, B.",yay
97,MILNE,yay
97,MOUL,yay
97,MUSTIO,yay
97,NELSON,yay
97,NESBIT,yay
97,OBERLANDER,yay
97,ORTITAY,yay
97,PEIFER,yay
97,PETRI,yay
97,PICKETT,yay
97,PYLE,yay
97,QUIGLEY,yay
97,"QUINN, C.",yay
97,"QUINN, M.",yay
97,RADER,yay
97,RAPP,yay
97,REED,yay
97,REESE,yay
97,ROAE,yay
97,ROE,yay
97,ROTHMAN,yay
97,RYAN,yay
97,SACCONE,yay
97,SANKEY,yay
97,SAYLOR,yay
97,SCHEMEL,yay
97,SONNEY,yay
97,STAATS,yay
97,STEPHENS,yay
97,TALLMAN,yay
97,TOBASH,yay
97,TOEPEL,yay
97,TOOHIL,yay
97,TOPPER,yay
97,WALSH,yay
97,WARD,yay
97,WARNER,yay
97,WENTLING,yay
97,WHEELAND,yay
97,WHITE,yay
97,ZIMMERMAN,yay
97,DAVIDSON,yay
97,"HARRIS, J.",yay
97,MCCLINTON,yay
97,WHEATLEY,yay
97,TURZAI,yay
97,BARRAR,nay
97,CAUSER,nay
97,DIGIROLAMO,nay
97,GILLEN,nay
97,GODSHALL,nay
97,LEWIS,nay
97,MCGINNIS,nay
97,MURT,nay
97,O'NEILL,nay
97,SANTORA,nay
97,BARBIN,nay
97,BIZZARRO,nay
97,BOYLE,nay
97,BRADFORD,nay
97,BRIGGS,nay
97,"BROWN, V.",nay
97,BULLOCK,nay
97,BURNS,nay
97,CALTAGIRONE,nay
97,CARROLL,nay
97,CEPHAS,nay
97,COMITTA,nay
97,CONKLIN,nay
97,"COSTA, D.",nay
97,"COSTA, P.",nay
97,CRUZ,nay
97,DALEY,nay
97,DAVIS,nay
97,DAWKINS,nay
97,DEAN,nay
97,DEASY,nay
97,DELISSIO,nay
97,DELUCA,nay
97,DERMODY,nay
97,DONATUCCI,nay
97,DRISCOLL,nay
97,EVANS,nay
97,FITZGERALD,nay
97,FLYNN,nay
97,FRANKEL,nay
97,FREEMAN,nay
97,GAINEY,nay
97,GALLOWAY,nay
97,GOODMAN,nay
97,HAGGERTY,nay
97,HANNA,nay
97,HARKINS,nay
97,KAVULICH,nay
97,"KELLER, W.",nay
97,KIM,nay
97,KINSEY,nay
97,KIRKLAND,nay
97,KORTZ,nay
97,KRUEGER,nay
97,KULIK,nay
97,LONGIETTI,nay
97,MADDEN,nay
97,MARKOSEK,nay
97,MATZIE,nay
97,MCCARTER,nay
97,"MILLER, D.",nay
97,MULLERY,nay
97,NEILSON,nay
97,NEUMAN,nay
97,O'BRIEN,nay
97,PASHINSKI,nay
97,PETRARCA,nay
97,RAVENSTAHL,nay
97,READSHAW,nay
97,ROEBUCK,nay
97,ROZZI,nay
97,SAINATO,nay
97,SAMUELSON,nay
97,SCHLOSSBERG,nay
97,SCHWEYER,nay
97,SIMS,nay
97,SNYDER,nay
97,SOLOMON,nay
97,STURLA,nay
97,THOMAS,nay
97,VAZQUEZ,nay
97,VITALI,nay
97,WARREN,nay
97,YOUNGBLOOD,nay
2060,BARRAR,yay
2060,BENNINGHOFF,yay
2060,BOBACK,yay
2060,"BROWN, R.",yay
2060,CHARLTON,yay
2060,CORBIN,yay
2060,CORR,yay
2060,COX,yay
2060,CULVER,yay
2060,CUTLER,yay
2060,DAY,yay
2060,DELOZIER,yay
2060,DIGIROLAMO,yay
2060,EMRICK,yay
2060,ENGLISH,yay
2060,FARRY,yay
2060,FEE,yay
2060,GILLEN,yay
2060,GILLESPIE,yay
2060,GREINER,yay
2060,HAHN,yay
2060,HARPER,yay
2060,"HARRIS, A.",yay
2060,HELM,yay
2060,HENNESSEY,yay
2060,HICKERNELL,yay
2060,JOZWIAK,yay
2060,KAMPF,yay
2060,KAUFER,yay
2060,"KELLER, F.",yay
2060,KLUNK,yay
2060,LAWRENCE,yay
2060,LEWIS,yay
2060,MACKENZIE,yay
2060,MAHER,yay
2060,MASSER,yay
