bill,rep,vote,topic,progressive,representative,pct_win,party,rep_2018,prog_vote
2154,BENNINGHOFF,yay,environment,-1,Kerry Benninghoff,0.685600631782152,rep,1,0
2154,BERNSTINE,yay,environment,-1,Aaron Bernstine,0.5847730383633609,rep,1,0
2154,BLOOM,yay,environment,-1,Stephen Bloom,0.642707841682961,rep,0,0
2154,"BROWN, R.",yay,environment,-1,Rosemary Brown,0.635161721885575,rep,1,0
2154,CAUSER,yay,environment,-1,Martin Causer,1,rep,1,0
2154,CHRISTIANA,yay,environment,-1,Jim Christiana,0.629719295949748,rep,0,0
2154,COOK,yay,environment,-1,Bud Cook,0.540958451369216,rep,1,0
2154,CORR,yay,environment,-1,Michael Corr,0.5431772607187191,rep,0,0
2154,COX,yay,environment,-1,Jim Cox,1,rep,1,0
2154,CULVER,yay,environment,-1,Lynda Schlegel-Culver,0.766513959043032,rep,0,0
2154,CUTLER,yay,environment,-1,Bryan Cutler,0.739344540669044,rep,1,0
2154,DAY,yay,environment,-1,Gary Day,1,rep,1,0
2154,DELOZIER,yay,environment,-1,Sheryl Delozier,0.650972429328342,rep,1,0
2154,DIAMOND,yay,environment,-1,Russell Diamond,0.699053050304502,rep,1,0
2154,DOWLING,yay,environment,-1,Matthew Dowling,0.530661035183488,rep,1,0
2154,DUNBAR,yay,environment,-1,George Dunbar,1,rep,1,0
2154,DUSH,yay,environment,-1,Cris Dush,1,rep,1,0
2154,ELLIS,yay,environment,-1,Brian Ellis,1,rep,1,0
2154,EMRICK,yay,environment,-1,Joe Emrick,0.655790817161371,rep,1,0
2154,EVANKOVICH,yay,environment,-1,Eli Evankovich,1,rep,0,0
2154,EVERETT,yay,environment,-1,Garth Everett,1,rep,1,0
2154,FEE,yay,environment,-1,Mindy Fee,1,rep,1,0
2154,FRITZ,yay,environment,-1,Jonathan Fritz,1,rep,1,0
2154,GILLESPIE,yay,environment,-1,Keith Gillespie,1,rep,1,0
2154,GODSHALL,yay,environment,-1,Robert Godshall,0.595445656137094,rep,0,0
2154,GREINER,yay,environment,-1,Keith Greiner,0.669622680271177,rep,1,0
2154,GROVE,yay,environment,-1,Seth Grove,1,rep,1,0
2154,HAHN,yay,environment,-1,Marcia Hahn,1,rep,1,0
2154,"HARRIS, A.",yay,environment,-1,C. Adam Harris,1,rep,0,0
2154,HEFFLEY,yay,environment,-1,Doyle Heffley,0.613593155893536,rep,1,0
2154,HELM,yay,environment,-1,Susan Helm,0.577114427860697,rep,1,0
2154,HICKERNELL,yay,environment,-1,David Hickernell,1,rep,1,0
2154,HILL,yay,environment,-1,Kristin Phillips-Hill,1,rep,0,0
2154,IRVIN,yay,environment,-1,Richard Irvin,0.637353039973127,rep,1,0
2154,JAMES,yay,environment,-1,R. Lee James,0.6508682646361841,rep,1,0
2154,JOZWIAK,yay,environment,-1,Barry Jozwiak,1,rep,1,0
2154,KAUFER,yay,environment,-1,Aaron Kaufer,0.678489125738154,rep,1,0
2154,KAUFFMAN,yay,environment,-1,Rob Kauffman,0.72500757601266,rep,1,0
2154,KEEFER,yay,environment,-1,Dawn Keefer,1,rep,1,0
2154,"KELLER, F.",yay,environment,-1,Fred Keller,1,rep,1,0
2154,"KELLER, M.K.",yay,environment,-1,Mark K. Keller,1,rep,0,0
2154,KLUNK,yay,environment,-1,Kate Anne Klunk,1,rep,0,0
2154,KNOWLES,yay,environment,-1,Jerry Knowles,1,rep,1,0
2154,LAWRENCE,yay,environment,-1,John Lawrence,0.624864498644986,rep,1,0
2154,LEWIS,yay,environment,-1,Harry Lewis Jr.,0.512681725130981,rep,0,0
2154,MACKENZIE,yay,environment,-1,Ryan Mackenzie,1,rep,1,0
2154,MAHER,yay,environment,-1,John Maher,0.650303967576792,rep,0,0
2154,MALONEY,yay,environment,-1,David Maloney,1,rep,1,0
2154,MARSHALL,yay,environment,-1,Jim Marshall,1,rep,1,0
2154,MARSICO,yay,environment,-1,Ronald Marsico,1,rep,0,0
2154,MASSER,yay,environment,-1,Kurt Masser,0.716084580660489,rep,1,0
2154,MCGINNIS,yay,environment,-1,John McGinnis,1,rep,0,0
2154,MENTZER,yay,environment,-1,Steven Mentzer,0.6313299408609541,rep,1,0
2154,METZGAR,yay,environment,-1,Carl Metzgar,1,rep,1,0
2154,MILLARD,yay,environment,-1,David Millard,0.67691026756992,rep,1,0
2154,"MILLER, B.",yay,environment,-1,Brett Miller,0.619520193303417,rep,1,0
2154,MOUL,yay,environment,-1,Dan Moul,0.664932741369028,rep,1,0
2154,MUSTIO,yay,environment,-1,T. Mark Mustio,1,rep,0,0
2154,NELSON,yay,environment,-1,Eric Nelson,0.6515253154448171,rep,1,0
2154,NESBIT,yay,environment,-1,Tedd Nesbit,0.666207286476554,rep,1,0
2154,O'NEAL,yay,environment,-1,NA,NA,NA,NA,0
2154,O'NEILL,yay,environment,-1,Bernard O'Neill,0.619405294398965,rep,0,0
2154,OBERLANDER,yay,environment,-1,Donna Oberlander,0.756447990085973,rep,1,0
2154,ORTITAY,yay,environment,-1,Jason Ortitay,0.602390821168979,rep,1,0
2154,OWLETT,yay,environment,-1,NA,NA,NA,NA,0
2154,PEIFER,yay,environment,-1,Michael Peifer,1,rep,1,0
2154,PICKETT,yay,environment,-1,Tina Pickett,1,rep,1,0
2154,PYLE,yay,environment,-1,Jeffrey Pyle,1,rep,1,0
2154,QUIGLEY,yay,environment,-1,Thomas Quigley,0.511531537651574,rep,0,0
2154,RADER,yay,environment,-1,Jack Rader Jr.,1,rep,0,0
2154,RAPP,yay,environment,-1,Kathy Rapp,0.699746913106833,rep,1,0
2154,REED,yay,environment,-1,Dave Reed,0.68877718282155,rep,0,0
2154,REESE,yay,environment,-1,Mike Reese,1,rep,1,0
2154,ROAE,yay,environment,-1,Bradley Roae,0.599951158247279,rep,1,0
2154,ROTHMAN,yay,environment,-1,Greg Rothman,0.626833524183434,rep,1,0
2154,RYAN,yay,environment,-1,Francis Ryan,0.670005414185165,rep,1,0
2154,SACCONE,yay,environment,-1,Rick Saccone,0.683988328056125,rep,0,0
2154,SANKEY,yay,environment,-1,Thomas Sankey,0.711052591405236,rep,1,0
2154,SAYLOR,yay,environment,-1,Stanley Saylor,1,rep,1,0
2154,SCHEMEL,yay,environment,-1,Paul Schemel,1,rep,1,0
2154,SIMMONS,yay,environment,-1,Justin Simmons,0.6282767132949341,rep,1,0
2154,SONNEY,yay,environment,-1,Curtis Sonney,1,rep,1,0
2154,STAATS,yay,environment,-1,Craig Staats,0.5829980977328719,rep,1,0
2154,STEPHENS,yay,environment,-1,Todd Stephens,0.6081190070794871,rep,1,0
2154,TALLMAN,yay,environment,-1,Will Tallman,0.7436389654811351,rep,0,0
2154,TAYLOR,yay,environment,-1,John Taylor,0.551465709044069,rep,0,0
2154,TOBASH,yay,environment,-1,Mike Tobash,1,rep,1,0
2154,TOEPEL,yay,environment,-1,Marcy Toepel,0.633493458062069,rep,1,0
2154,TOOHIL,yay,environment,-1,Tarah Toohil,0.70194248234107,rep,1,0
2154,TOPPER,yay,environment,-1,Jesse Topper,1,rep,1,0
2154,WALSH,yay,environment,-1,Justin Walsh,0.615379312721883,rep,1,0
2154,WARD,yay,environment,-1,Judith Ward,1,rep,0,0
2154,WARNER,yay,environment,-1,Ryan Warner,0.639139486467731,rep,1,0
2154,WATSON,yay,environment,-1,Katharine Watson,1,rep,0,0
2154,WENTLING,yay,environment,-1,Parke Wentling,0.712721114038389,rep,1,0
2154,WHEELAND,yay,environment,-1,Jeff Wheeland,1,rep,1,0
2154,WHITE,yay,environment,-1,Martina White,0.539176777412405,rep,1,0
2154,ZIMMERMAN,yay,environment,-1,David H. Zimmerman,0.742633669922198,rep,1,0
2154,BARBIN,yay,environment,-1,Bryan Barbin,0.5898047876888,dem,0,0
2154,BIZZARRO,yay,environment,-1,Ryan Bizzarro,0.599437119520328,dem,1,0
2154,BURNS,yay,environment,-1,Frank Burns,0.57554437682485,dem,1,0
2154,"COSTA, D.",yay,environment,-1,Dominic Costa,1,dem,0,0
2154,"COSTA, P.",yay,environment,-1,Paul Costa,1,dem,0,0
2154,DELUCA,yay,environment,-1,Anthony DeLuca,1,dem,1,0
2154,FLYNN,yay,environment,-1,Martin Flynn,0.692891983467997,dem,1,0
2154,HARKINS,yay,environment,-1,Patrick Harkins,0.729187216413494,dem,1,0
2154,LONGIETTI,yay,environment,-1,Mark Longietti,1,dem,1,0
2154,PETRARCA,yay,environment,-1,Joseph Petrarca,0.56391849757088,dem,1,0
2154,SAINATO,yay,environment,-1,Chris Sainato,1,dem,1,0
2154,SNYDER,yay,environment,-1,Pam Snyder,0.533257021380974,dem,1,0
2154,TURZAI,yay,environment,-1,Mike Turzai,0.6524607751106339,rep,1,0
2154,BARRAR,nay,environment,-1,Stephen Barrar,1,rep,1,1
